Review,Processed_Review,keyword_1,common_keywords_all,common_keywords_3_plus,Answer
"사이즈도 좋구요
재질이 부드럽네요
무게도 너무 가볍",사이즈도 좋고요 재질이 부드럽네요 무게도 너무 가법,"['부담', ' 허리', ' 치마', ' 사이즈', ' 라인', ' 널널', ' 기장']", 사이즈,"가법, 무게, 부드럽다, 사이즈, 재질","사이즈, 재질, 부드럽다, 무게, 가볍다"
너무 맘에 들어요! 배송도 빠르고 시원한 재질이에요,너무 맘에 들어요 배송도 빠르고 시원한 재질이에요,"['하체', ' 부', ' 허리', ' 부담스럽지', ' 라인', ' 비추다', ' 기장']",,"배송, 빠르다, 시원하다, 재질","배송, 빠르다, 시원하다, 재질"
"어느날 갑자기 신랑이 무신사에 대한 사랑이 생겨서 저도 한번 볼까나 하고 어플도 깔고 집근처에 가서 보기도 했는데 너무 좋더라구요.
너무 시원하고 바느질도 꼼꼼 진짜 이런 신세계가 있나 싶을정도에요. 그리고 스타일도 너무 좋아서 알림 신청 해놓고 괜찮은거있으면 바로 살거에요",어느 날 갑자기 신랑이 무신사에 대한 사랑이 생겨서 저도 한번 볼까나 하고 앱도 깔고 집 근처에 가서 보기도 했는데 너무 좋더라고요 너무 시원하고 바느질도 꼼꼼 진짜 이런 신세계가 있나 싶을 정도예요 그리고 스타일도 너무 좋아서 알림 신청 해놓고 괜찮은 거 있으면 바로 살 거예요,"['시원', ' 수선', ' 허리', ' 라인', ' 얆']",,"갑자기, 근처, 바느질, 보기, 생기다","시원하다, 바느질, 꼼꼼하다, 스타일"
너무길어서 살짝 잘랏더니 더 이뿌네요 엄청얇아서 좋긴한데 밝은데 가면 다리라인이 다 보일정돓 비치긴해요!! 저는 걍 청반바지 입고 입어요,너무 길어서 살짝 잘랐더니 더 이쁘네요 엄청 얇아서 좋긴 한데 밝은데 가면 다리라인이 다 보일정돓 비치긴 해요 저는 그냥 청 반바지 입고 입어요,"['가볍다', ' 여름', ' XL', ' 사이즈']",,"가면, 반바지, 밝다, 비치다, 얇다, 자르다","길다, 얇다, 비치다"
원단 너무 시원하구 핏도 좋아요 좀 긴 거 빼면 완전 만족스러움 ...,원단 너무 시원하고 핏도 좋아요 좀 긴 거 빼면 완전히 만족스러움,"['제품', ' 사서', ' 드디어']",,"만족스럽다, 빼다, 시원하다, 완전하다, 원단, 핏","원단, 시원하다, 핏, 길다, 만족스럽다"
"대만족스러운 카라티
얇고 소재도 찰랑해서 여름에 딱좋음
절대 안 들러붙는 재질
하나도안짧음 길고 넉넉하게나온편",대만족스러운 칼라티 얇고 소재도 찰랑해서 여름에 딱 좋음 절대 안 들러붙는 재질 하나도 안 짧음 길고 넉넉하게 나온 편,"['제품', ' 사서', ' 드디어']",,"길다, 나오다, 넉넉하다, 들러붙다, 소재, 재질, 절대, 찰랑하다","만족스럽다, 얇다, 소재, 찰랑하다, 여름, 안 들러붙다, 재질, 길다, 넉넉하다"
"일단 지금까지 사서 입었던 원피스 중에서 최고에요
평소 바지 L사이즈 입는 하비라서
M이랑 L 엄청 고민했는데  저랑 비슷하신분들은 엠 하셔도 충분하실겁니다! 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판끼 입기도 편하네요😆😆
검정색도 바로 살거에욤 다들 고민하지말고 사세여~~",일단 지금까지 사서 입었던 원피스 중에서 최고예요 평소 바지 L 사이즈 입는 하비라서 M이랑 L 엄청 고민했는데 저랑 비슷하신 분들은 엠 하셔도 충분하실 겁니다 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판기 입기도 편하네요 검은색도 바로 살 거에욤 다들 고민하지 말고 사세여,"['최고', ' 원피스', ' 사서', ' 하비라서', ' 평소', ' 지금', ' 이랑', ' 고민', ' 겁니다', ' 사이즈', ' 엠', ' 길이', ' 바지', ' 분', ' 짧다', ' 충분하다', ' 키', ' 걱정']",,"검은색, 겁니다, 고민, 바지, 분, 사서, 사이즈, 스판, 충분하다, 평소","원피스, 최고, 하비, 바지, 사이즈, 키, 스판, 길이, 편하다"
한사이즈 작은걸 살까 했지만 괜찮아요 편하고 흰색 재구매 합니당,한 사이즈 작은 걸 살까 했지만 괜찮아요 편하고 흰색 재구매 합니다,"['편하다', ' 재다', ' 흰색', ' 걸', ' 사이즈', ' 살다', ' 작다']"," 살다,  재다,  작다","사이즈, 살다, 작다, 재다, 편하다, 흰색","편하다, 흰색"
"여자친구 사줬는데 좋아해요.
다른 후기들처럼 아래가 좀 비쳐요.",여자친구 사줬는데 좋아해요 다른 후기들처럼 아래가 좀 비쳐요,"['좋아하다', ' 비치다', ' 사주다', ' 여자친구', ' 후기처럼', ' 아래']"," 비치다,  사주다","비치다, 사주다, 아래, 여자친구, 좋아하다, 처럼, 후기","여자친구, 비치다"
딱 기본적인 사이즈에 편안하게 입고 다닐 수 있어옹,딱 기본적인 사이즈에 편안하게 입고 다닐 수 있어 옹,"['본적', ' 사이즈', ' 옹', ' 수', ' 편안하다']",,"기본, 사이즈, 편안하다","기본, 사이즈, 편안하다"
기장도 재질도 넘 맘에들어요 매장에서 입어보고 넘 괜찮길래 구매했습니다 앱에서 구매하는게 더 저렴하네요 pk 원피스 기장 대개 짧은데 이건 부담스럽지않고 딱이뻐요,기장도 재질도 너무 맘에 들어요 매장에서 입어보고 너무 괜찮길래 구매했습니다 앱에서 구매하는 게 더 저렴하네요 pk 원피스 기장 대개 짧은데 이건 부담스럽지 않고 딱 이뻐요,"['저렴', ' 원피스', ' 앱', ' 재질', ' 부담스럽지', ' 매장', ' 짧다', ' 기장']",,"기장, 매장, 부담, 스럽지, 앱, 원피스, 입어보다, 재질, 짧다","기장, 재질, 앱, 저렴하다, 원피스"
재질도 너무 시원하고 핏도 너무 이쁘네요 다른 색상도 사고 싶어요,재질도 너무 시원하고 핏도 너무 이쁘네요 다른 색상도 사고 싶어요,"['시원', ' 재질', ' 색상', ' 핏']", 재질,"사고, 색상, 시원하다, 재질, 핏","재질, 시원하다, 핏, 색상"
여름 내내 잘 입고 다녔어요! 시원하고 라인도 들어가고 예뻐요~ 길이도 적당해서 잘 입고 다녔습니다! 최고에요,여름 내내 잘 입고 다녔어요 시원하고 라인도 들어가고 예뻐요 길이도 적당해서 잘 입고 다녔습니다 최고예요,"['최고에요', ' 자다', ' 여름', ' 적당하다', ' 길이', ' 라인', ' 시원하다', ' 들어가다']"," 라인,  들어가다,  길이","길이, 내내, 들어가다, 라인, 시원하다, 여름, 적당하다, 최고","여름, 시원하다, 라인, 길이, 적당하다, 최고"
제 키에 길이 딱 적당하고 허리라인 예뻐 보여서 좋아요,제 키에 길이 딱 적당하고 허리라인 예뻐 보여서 좋아요,"['라인', ' 키', ' 허리', ' 길이']", 길이,"길이, 라인, 적당하다, 키, 허리","키, 길이, 적당하다, 허리, 라인"
"뚠뚠인데 허리 라인 잡혀서 날씬해보여요 
얇아서 여름에 입기 딱 좋고 살짝 비치기는 하는데 속치마 입으려니 속치마가 더 길어서 못입었네요ㅋㅋㄱㄱ
속바지 입으시면 될것같아여",뚠뚠인데 허리 라인 잡혀서 날씬해 보여요 얇아서 여름에 입기 딱 좋고 살짝 비치기는 하는데 속치마 입으려니 속치마가 더 길어서 못 입었네요 속바지 입으시면 될 것 같아요,"['얇다', ' 속', ' 여름', ' 허리', ' 못', ' 치마', ' 날씬하다', ' 보이다', ' 비치', ' 라인', ' 속바지', ' 되다', ' 잡히다']"," 날씬하다,  잡히다","날씬하다, 라인, 보이다, 비치, 속바지, 여름, 잡히다, 치마, 허리","허리, 라인, 날씬해 보이다, 얇다, 여름, 비치다"
pk원피스는 처음인데 진짜 맘에들어요. 근데 좀 짧긴해요. 아랫배 부각도 있긴있어요. 그래도 이뻐요... 스트레이트 체형이라면 도전하십쇼!!,pk 원피스는 처음인데 진짜 맘에 들어요 근데 좀 짧긴 해요 아랫배 부각도 있긴 있어요 그래도 이뻐요 스트레이트 체형이라면 도전하십쇼,"['스트레이트', ' 체형', ' 쇼', ' 원피스', ' 처음', ' 근데', ' 짧다', ' 아랫배', ' 부각']", 부각,"근데, 도전, 부각, 쇼, 스트레이트, 원피스, 처음, 체형","원피스, 짧다, 아랫배, 부각, 스트레이트, 체형"
"진짜 날씬해보이고 좋아요!!!!
여름에 잘입을 것 같아요",진짜 날씬해 보이고 좋아요 여름에 잘 입을 것 같아요,"['자다', ' 여름', ' 날씬하다', ' 보이']",,"날씬하다, 보이, 여름","날씬해 보이다, 여름"
"길이가 짧은듯하지만 허리는 예쁘게 잘맞아요.
자주입겠어요.",길이가 짧은듯하지만 허리는 예쁘게 잘 맞아요 자주 입겠어요,"['허리', ' 길이']",,"길이, 맞다, 짧다, 허리","길이, 짧다, 허리, 맞다"
디자인은 예쁜데 허리가 너무 커요ㅠ 배송은 빨랐어요,디자인은 예쁜데 허리가 너무 커요 배송은 빨랐어요,"['체형', ' 골반', ' 사이즈', ' 치마', ' A라인']",,"디자인, 배송, 빠르다, 크다, 허리","디자인, 허리, 크다, 배송, 빠르다"
"여행 때문에 샀는데 핏이 진짜 예뻐요!! 색감도 화면이랑 똑같고 s 사서 너무 작진 않을까 걱정했는데 전혀 작지 않았습니다-! 저랑 키,몸무게 비슷하신 분들은 s 사세용",여행 때문에 샀는데 핏이 진짜 예뻐요 색감도 화면이랑 똑같고 s 사서 너무 작진 않을까 걱정했는데 전혀 작지 않았습니다 저랑 키 몸무게 비슷하신 분들은 s 사세요,"['사이즈', ' 매장']",,"걱정, 몸무게, 색감, 여행, 작다, 전혀, 화면","여행, 핏, 색감, s, 작지 않다"
데이트할 때 잘 입었습니다요 셔츠랑 입어도 예쁨,데이트할 때 잘 입었습니다 셔츠랑 입어도 예쁨,"['말리', ' 색감', ' 치마', ' 배송', ' 세탁']",,"데이트, 셔츠","데이트, 셔츠"
소재도 탄탄하고 합리적인 가격에 구매할 수 있어 좋습니다.,소재도 탄탄하고 합리적인 가격에 구매할 수 있어 좋습니다,"['어울리다', ' 나왓네', ' 자다', ' 진회색', ' 사진', ' 여기저기', ' 짧다', ' 밝다']",,"가격, 소재, 탄탄하다, 합리","소재, 탄탄하다, 합리적, 가격"
"맘에 들어요 기장도 너무 짧지않고 허리도 딱입니당 하나 아쉬운거는 엉덩이 밑에 부분이 좀 붕 떠요ㅠㅠ 아쉽,,",맘에 들어요 기장도 너무 짧지 않고 허리도 딱입니다 하나 아쉬운 거는 엉덩이 밑에 부분이 좀 붕 떠요 아쉽,"['셔츠', ' 데이트']",,"기장, 부분, 엉덩이, 짧다, 하나, 허리","기장, 짧지 않다, 엉덩이, 뜨다, 아쉽다"
168기준 허벅지 중간정도와서 활동할 때 전! 혀 불편함 없어요! 나아이스,기준 허벅지 중간 정도 와서 활동할 때 전 혀 불편함 없어요 나 아이스,"['코디', ' 데님', ' 블랙', ' 치마', ' 스탠다드']",,"기준, 불편하다, 아이스, 없다, 오다, 중간, 허벅지, 활동","활동, 불편함 없다"
원래 짧은 치마는 손도안대는데 치마 바지라 너무 편하고 예뻐요,원래 짧은 치마는 손도 안 대는데 치마바지라 너무 편하고 예뻐요,"['힙', ' 엉덩이', ' 퀄리티', ' 허리', ' 치마', ' 지퍼', ' 전체', ' 마감', ' 잠그다', ' 상품']",,"대다, 바지라, 손, 원래, 짧다, 치마, 편하다","짧다, 치마, 바지, 편하다"
"키가 작은편인데도 길이감도 좋고
핏이 넘 예뻐요",키가 작은 편인데도 길이감도 좋고 핏이 너무 예뻐요,"['편', ' 핏', ' 여리다']",,"길이감, 작다, 키, 펴다, 핏","길이감, 핏"
"S와M중 고민하다가
조금더 활동성 편하게 입고 싶어서
M으로 구매했습니다.
확실히 허리가 남고 넉넉해요
아주 딱 맞지는 않습니다.

지난주
무신사 스토어 주변을 들리게되어 방문하였다가
다른색 s를  입어봤더니 s는 또 너무 타이트해서
편하게 입길 원했던 저에게는 M이 맞구나 하였습니다.
(무신사 다른 카고스커트는 s가 딱 이쁘게 핏이 되었는데 이거는 s가 타이트했어요ㅠㅠ)

위에 편하게 스타일링 할 수 있어서 
요즘 너무 잘 입고 있습니다",S와 M 중 고민하다가 조금 더 활동성 편하게 입고 싶어서 M으로 구매했습니다 확실히 허리가 남고 넉넉해요 아주 딱 맞지는 않습니다 지난주 무신사 스토어 주변을 들리게 되어 방문하였다가 다른 색 s를 입어봤더니 s는 또 너무 타이트해서 편하게 입길 원했던 저에게는 M이 맞구나 하였습니다 무신사 다른 카고 스커트는 s가 딱 이쁘게 핏이 되었는데 이거는 s가 타이트했어요 위에 편하게 스타일링 할 수 있어서 요즘 너무 잘 입고 있습니다,"['신축성', ' 밥', ' 치마바지']",,"가다, 물다, 스토어, 타이트","활동성, 편하다, M, 허리, 넉넉하다, s, 타이트, 핏, 스타일링"
재질도 좋구 휘뚜루마뚜루 잘입고다니이 좋을거같아요,재질도 좋고 휘뚜루마뚜루 잘 입고 다니 이 좋을 거 같아요,['휘뚜루마뚜루'],,"재질, 휘뚜루마뚜루",재질
재질이 탄탄합니다! 바지가 함께 달린 스커트를 좋아하는데 핏도 예쁘고 좋아요,재질이 탄탄합니다 바지가 함께 달린 스커트를 좋아하는데 핏도 예쁘고 좋아요,"['트이다', ' 포인트', ' 적당하다', ' 짧다', ' 속바지']",,"달리다, 바지, 스커트, 재질, 좋아하다, 탄탄하다, 핏","재질, 탄탄하다, 바지, 스커트, 핏"
엄청 좋아요.. 착용감이 꽤나 좋습니다.. 진짜 편하고 매일 입고있어요..,엄청 좋아요 착용감이 꽤나 좋습니다 진짜 편하고 매일 입고 있어요,"['하체', ' 슬림', ' 재질', ' 하비', ' 기장']",,"꽤, 매일, 착용, 편하다","착용감, 편하다"
"색감이 좀 어두워서 아쉬워요~
일자핏이라 펑퍼짐해보이지않아서 좋네요.
요새 살이 쪘음에도 불구하고 허리는 넉넉해서 단추로 조절해야 더 이쁘네요.
마르신분들은 단추로 허리 줄여도 클거같네요.",색감이 좀 어두워서 아쉬워요 이자 핏이라 펑퍼짐해 보이지 않아서 좋네요 요새 살이 쪘음에도 불구하고 허리는 넉넉해서 단추로 조절해야 더 이쁘네요 마르신 분들은 단추로 허리 줄여도 클 거 같네요,"['퍼지다', ' 조절', ' 찌다', ' 단추', ' 줄이다', ' 색감', ' 펑', ' 어둡다', ' 일자핏', ' 보이지', ' 허리', ' 마르다', ' 쁘네', ' 살이', ' 분', ' 크다', ' 아쉽다', ' 불구']"," 보이지,  불구","단추, 마르다, 보이지, 불구, 살이, 색감, 아쉽다, 어둡다, 줄이다, 찌다, 허리","색감, 어둡다, 아쉽다, 일자핏, 허리, 넉넉하다"
"와 진짜 최고의 치마를 찾았아요
여름이라 엉땀때문에 걱정 많았는데 방수라 티안나고
스판 짱짱해서 너무 편해요
엉덩이가 좀 커서 엠으로 시켰는데 기장이니 허리가 매우 크더라구요… 다른 색상 에스로 살 의향 있습니다
강추~~",와 진짜 최고의 치마를 찾았아요 여름이라 어 땀 때문에 걱정 많았는데 방수라 티 안 나고 스판 짱짱해서 너무 편해요 엉덩이가 좀 커서 엠으로 시켰는데 기장이니 허리가 매우 크더라고요 다른 색상 에스로 살 의향 있습니다 강추,"['엠', ' 허리', ' 엉덩이', ' 커서', ' 크다', ' 엉', ' 기장']",,"강추, 걱정, 기장, 방수, 엉덩이, 여름, 최고, 커서, 허리","최고, 치마, 여름, 방수, 스판, 편하다, 크다, 엠, 기장, 허리, 에스, 강추"
얇고 예뻐서 색깔별로 다 샀는데 베이지가 좀 어두운 베이지네요 약간 그레이랑 비슷한 느낌? 오히려 어두워서 ㄷ좋음,얇고 예뻐서 색깔별로 다 샀는데 베이지가 좀 어두운 베이지네요 약간 그레이랑 비슷한 느낌 오히려 어두워서 좋음,"['어두움', ' 베이지', ' 얇다', ' 색깔', ' 그레이']", 얇다,"그레이, 두운, 베이지, 별로, 색깔, 얇다, 어둡다","얇다, 색깔, 어둡다, 베이지"
넘 이쁩니다~ 다른 색도 사고 싶네요 ! 가을까지 입을수 있어요,너무 이쁩니다 다른 색도 사고 싶네요 가을까지 입을 수 있어요,"['가을', ' 수', ' 색도', ' 니다', ' 사고']", 사고,"가을, 사고, 색도","색, 가을"
163에 58 m 사이즈 딱 맞는 몸이어서 m 주문했는데 허리가 큽니다. 단추를 당겨서 끼워도 조금 큽니다. 길이는 발목을 거의 덮는 정도입니다. 디자인이나 재질은 마음에 듭니다.,에 m 사이즈 딱 맞는 몸이어서 m 주문했는데 허리가 큽니다 단추를 당겨서 끼워도 조금 큽니다 길이는 발목을 거의 덮는 정도입니다 디자인이나 재질은 마음에 듭니다,"['발목', ' 사이즈', ' 맞다', ' 단추', ' 허리', ' 크다', ' 디자인', ' 길이', ' 재질']"," 크다,  길이","길이, 단추, 덮다, 디자인, 맞다, 발목, 사이즈, 주문, 크다, 허리","사이즈, 허리, 크다, 길이, 발목, 디자인, 재질"
키에비해 좀 길지만 그냥 입어도 괜찮아요 ㅎㅎ 여름에 교복될듯,키에 비해 좀 길지만 그냥 입어도 괜찮아요 여름에 교복 될 듯,"['여름', ' 키', ' 교복', ' 길다']", 교복,"교복, 그냥, 비다, 여름, 키","길다, 여름, 교복"
"집사람 사줬는데 맘에들어해서 다행입니다
165기준으로 길긴하네요",집사람 사줬는데 맘에 들어 해서 다행입니다 기준으로 길긴 하네요,"['집사람', ' 사주다', ' 길다', ' 기준', ' 다행', ' 들어서다']"," 사주다,  기준","기준, 길다, 다행, 사주다, 집사람",길다
배송도 빨랐고 갖고 싶었는데 이정도 금액을 주고 살 가치가 있나 싶어서 고민하다 색감이랑 핏 보고 구입했고 결론적으로는 너무 잘산것같아요 예쁩니다 여름에 시원하게 착용 가능할 것 같아요,배송도 빨랐고 갖고 싶었는데 이 정도 금액을 주고 살 가치가 있나 싶어서 고민하다 색감이랑 핏 보고 구입했고 결론적으로는 너무 잘 산 것 같아요 예쁩니다 여름에 시원하게 착용 가능할 것 같아요,"['핏', ' 시원하다', ' 색감', ' 주다', ' 가능하다', ' 가치', ' 배송', ' 여름', ' 착용', ' 갖다', ' 금액', ' 살', ' 빠르다']"," 가치,  착용","가능하다, 가치, 갖다, 결론, 고민, 금액, 배송, 빠르다, 색감, 시원하다, 여름, 으로는, 주다, 착용","배송, 빠르다, 금액, 가치, 색감, 핏, 여름, 시원하다"
배송 빨리 와서 좋았어요! 옷은 흉곽 부분이 많이 작게 나왔고 길이가 짧아서 좀 신경 쓰이긴 합니다 그래도 예뻐요,배송 빨리 와서 좋았어요 옷은 흉곽 부분이 많이 작게 나왔고 길이가 짧아서 좀 신경 쓰이긴 합니다 그래도 예뻐요,"['쓰이다', ' 많이', ' 오다', ' 나오다', ' 부분', ' 신경', ' 빨리', ' 길이', ' 배송', ' 흉곽', ' 짧다', ' 작다']", 흉곽,"길이, 나오다, 배송, 부분, 빨리, 신경, 쓰이다, 오다, 작다, 짧다, 흉곽","배송, 빨리, 흉곽, 작다, 길이, 짧다"
소재도 부드럽고 시원해서 좋아요! 비침 없는 탄탄한 면인데도 시원한 게 신기하네요! 조금 짧은 느낌은 있지만 키 164인 제가 단독으로 입기에 무리 없는 길이였습니다!,소재도 부드럽고 시원해서 좋아요 비침 없는 탄탄한 면인데도 시원한 게 신기하네요 조금 짧은 느낌은 있지만 키인 제가 단독으로 입기에 무리 없는 길이였습니다,"['없다', ' 키', ' 무리', ' 비침', ' 소재', ' 부드럽다', ' 신기하다', ' 길이', ' 시원하다', ' 단독']"," 신기하다,  부드럽다","길이, 단독, 무리, 부드럽다, 비침, 소재, 시원하다, 신기하다, 키","소재, 부드럽다, 시원하다, 비침 없다, 탄탄하다, 면, 짧다, 키, 단독, 길이"
"두겹이라 비치지도 않고
완전 탄탄합니다
올해 원피스중 제일 이쁜듯요
너무 맘에 들어서 세칼라 구매했습니다🥰",두 겹이라 비치지도 않고 정말 탄탄합니다 올해 원피스 중 제일 이쁜 듯요 너무 맘에 들어서 세 칼라 구매했습니다,"['세칼라', ' 원피스', ' 들어서다', ' 겹']",,"겹, 들어서다, 비치다, 올해, 원피스, 칼라, 탄탄하다","비치지 않다, 탄탄하다, 원피스"
핏 진짜 너무 예뻐요 완전 인생 원피스예요!! 사진찍으면 밝아서 넘 예쁘게나와요,핏 진짜 너무 예뻐요 완전 인생 원피스예요 사진 찍으면 밝아서 너무 예쁘게 나와요,"['찍다', ' 나오다', ' 핏', ' 인생', ' 밝다', ' 원피스', ' 사진']"," 원피스,  사진","나오다, 밝다, 사진, 원피스, 인생, 찍다","핏, 인생, 원피스, 밝다"
생각보다 펄럭거려서 좀 유치하긴 하지만 마음에 들어요,생각보다 펄럭거려서 좀 유치하긴 하지만 마음에 들어요,"['펄럭거리다', ' 유치하다']",,"유치하다, 펄럭거리다","펄럭거리다, 유치하다"
