Review,keyword_1,keyword_2,keyword_3,keyword_4,common_keywords_all,common_keywords_3_plus,Answer
원단 너무 시원하구 핏도 좋아요 좀 긴 거 빼면 완전 만족스러움 ...,"['원단', '시원', '만족스럽다', '핏']","['만족스럽다', '시원하다', '완전하다', '원단', '핏', '빼다']","['빼다', '핏', '시원하다', '완전하다', '만족스럽다', '원단']","['완전하다', '빼다', '만족스럽다', '원단', '시원하다']",,"원단,   만족스럽다,   핏,   시원하다,   완전하다,   빼다","원단, 시원하다, 핏, 길다, 만족스럽다"
"대만족스러운 카라티
얇고 소재도 찰랑해서 여름에 딱좋음
절대 안 들러붙는 재질
하나도안짧음 길고 넉넉하게나온편","['하나', '길다', '넉넉하다', '찰랑', '짧다', '칼라티', '절대', '재질', '여름', '소재', '나오다', '얇다', '들러붙다', '편']","['만족', '찰랑하다', '넉넉하다', '칼라티', '재질', '소재', '나오다', '절대', '길다', '여름']","['여름', '넉넉하다', '얇다', '소재', '찰랑하다', '나오다', '들러붙다', '재질', '절대']","['스러운', '절대', '들러붙다', '칼라', '찰랑하다', '만족', '넉넉하다', '하나', '길다', '나오다']",,"넉넉하다,   절대,   나오다,   소재,   찰랑하다,   들러붙다,   재질,   여름,   길다","넉넉하다, 소재, 찰랑하다, 들러붙다, 재질, 여름, 길다, 만족스럽다, 얇다"
"일단 지금까지 사서 입었던 원피스 중에서 최고에요
평소 바지 L사이즈 입는 하비라서
M이랑 L 엄청 고민했는데  저랑 비슷하신분들은 엠 하셔도 충분하실겁니다! 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판끼 입기도 편하네요😆😆
검정색도 바로 살거에욤 다들 고민하지말고 사세여~~","['살', '바지', '분', '평소', '스판', '길이', '하비라서', '겁니다', '최고', '고민', '사서', '검은색', '엠', '사이즈', '키', 'm', '걱정', '짧다', '편하다', '충분하다', '원피스', 'l']","['충분하다', '스판', '검은색', '고민', '겁니다', '중', '사이즈', '사서']","['바지', '편하다', '최고', '사이즈', '분']","['고민', '겁니다', '거에욤', '검은색', '하비', '스판', '충분하다', '말고', '바지', '평소']",,"사이즈,   겁니다,   바지,   검은색,   고민,   충분하다,   스판","사이즈, 바지, 고민, 스판, 원피스, 최고, 하비, 편하다"
한사이즈 작은걸 살까 했지만 괜찮아요 편하고 흰색 재구매 합니당,"['재다', '걸', '편하다', '흰색', '사이즈', '작다', '살다']","['흰색', '사이즈', '편하다', '작다', '재다', '살다']","['사이즈', '작다', '편하다', '살다', '흰색', '재다']","['흰색', '재다', '살다', '작다', '사이즈', '편하다']"," 살다,  재다,  작다","재다,   편하다,   흰색,   사이즈,   작다,   살다","편하다, 흰색, 사이즈, 작다"
"여자친구 사줬는데 좋아해요.
다른 후기들처럼 아래가 좀 비쳐요.","['후기처럼', '사주다', '좋아하다', '여자친구', '비치', '아래']","['여자친구', '후기', '비치다', '아래', '사주다', '좋아하다']","['좋아하다', '비치다', '사주다', '후기', '처럼', '아래', '여자친구']","['아래', '좋아하다', '사주다', '처럼', '여자친구', '후기', '비치다']"," 비치다,  사주다","사주다,   좋아하다,   여자친구,   아래,   후기,   비치다","사주다, 좋아하다, 여자친구, 후기, 비치다"
딱 기본적인 사이즈에 편안하게 입고 다닐 수 있어옹,"['편안하다', '기본', '옹', '사이즈']","['기본', '사이즈', '편안하다']","['사이즈', '편안하다', '기본']","['편안하다', '기본', '사이즈']",,"편안하다,   기본,   사이즈","편안하다, 기본, 사이즈"
기장도 재질도 넘 맘에들어요 매장에서 입어보고 넘 괜찮길래 구매했습니다 앱에서 구매하는게 더 저렴하네요 pk 원피스 기장 대개 짧은데 이건 부담스럽지않고 딱이뻐요,"['짧다', '부담스럽지', '원피스', '재질', '매장', '앱', '기장']","['매장', '입어보다', '부담', '기장', '기장', '재질', '앱', '원피스']","['저렴하다', '짧다', '부담', '스럽지', '앱', '매장', '입어보다', '대개']","['대개', '기장', '스럽지', '이건', '부담', 'pk', '저렴하다', '매장', '입어보다', '재질']",,"매장,   기장,   재질,   앱,   입어보다,   부담","매장, 기장, 재질, 앱, 입어보다, 원피스"
재질도 너무 시원하고 핏도 너무 이쁘네요 다른 색상도 사고 싶어요,"['재질', '시원', '핏', '색상']","['색상', '시원하다', '재질', '사고', '핏', '싶다']","['색상', '핏', '재질', '시원하다', '사고']","['색상', '사고', '재질', '시원하다']", 재질,"재질,   색상,   핏,   시원하다,   사고","재질, 시원하다, 핏, 색상"
여름 내내 잘 입고 다녔어요! 시원하고 라인도 들어가고 예뻐요~ 길이도 적당해서 잘 입고 다녔습니다! 최고에요,"['시원하다', '내내', '여름', '최고', '들어가다', '적당하다', '라인', '길이']","['적당하다', '시원하다', '들어가다', '길이', '라인', '여름', '내내', '최고']","['최고', '라인', '들어가다', '길이', '적당하다', '내내']","['내내', '최고', '들어가다', '적당하다', '라인', '여름', '길이', '시원하다']"," 라인,  들어가다,  길이","내내,   최고,   들어가다,   적당하다,   라인,   길이,   시원하다,   여름","최고, 적당하다, 라인, 길이, 시원하다, 여름"
제 키에 길이 딱 적당하고 허리라인 예뻐 보여서 좋아요,"['키', '길이', '허리라인']","['적당하다', '보', '허리라인', '길이', '키']","['보', '여서', '적당하다', '키', '허리', '라인', '길이']","['여서', '적당하다', '허리', '라인', '길이']", 길이,"길이,   키,   적당하다","길이, 키, 적당하다, 허리, 라인"
"뚠뚠인데 허리 라인 잡혀서 날씬해보여요 
얇아서 여름에 입기 딱 좋고 살짝 비치기는 하는데 속치마 입으려니 속치마가 더 길어서 못입었네요ㅋㅋㄱㄱ
속바지 입으시면 될것같아여","['허리', '속바지', '날씬하다', '뚠뚠', '못', '속치마', '보이', '여름', '비치', '얇다', '잡히다', '라인']","['비치', '치마', '날씬하다', '치마', '허리', '잡히다']","['속바지', '얇다', '여름', '날씬하다', '잡히다']","['치마', '뚠뚠', '비치', '잡히다', '인데', '날씬하다', '속바지', '보이다', '허리', '라인']"," 날씬하다,  잡히다","날씬하다,   잡히다,   허리,   속바지,   비치,   치마","날씬하다, 라인, 잡히다, 허리, 속바지, 얇다, 치마, 여름"
pk원피스는 처음인데 진짜 맘에들어요. 근데 좀 짧긴해요. 아랫배 부각도 있긴있어요. 그래도 이뻐요... 스트레이트 체형이라면 도전하십쇼!!,"['도전쇼', '짧다', '처음', '원피스', '스트레이트', '체형라면', '부각', '아랫배']","['도전쇼', '체형라면', '스트레이트', '원피스', '처음', '부각']","['체형', '라면', '도전', '쇼', '부각']","['라면', '아랫', '도전', '스트레이트', 'pk', '부각', '체형', '처음', '인데', '근데']", 부각,"부각,   처음,   스트레이트","부각, 스트레이트, 체형, 원피스, 짧다"
"진짜 날씬해보이고 좋아요!!!!
여름에 잘입을 것 같아요","['여름', '날씬']","['날씬하다', '여름', '보이']","['여름', '날씬하다', '보이']","['보이', '날씬하다', '여름']",,"여름,   날씬하다,   보이","여름, 날씬하다"
"길이가 짧은듯하지만 허리는 예쁘게 잘맞아요.
자주입겠어요.","['짧다', '길이', '허리', '맞다']","['허리', '길이', '짧다', '맞다']","['맞다', '짧다', '허리', '길이']","['길이', '짧다', '맞다', '허리']",,"짧다,   길이,   허리,   맞다","짧다, 길이, 허리, 맞다"
디자인은 예쁜데 허리가 너무 커요ㅠ 배송은 빨랐어요,"['크다', '디자인', '빠르다', '허리', '배송']","['배송', '허리', '크다', '디자인', '빠르다']","['배송', '크다', '빠르다', '디자인', '허리']","['디자인', '빠르다', '배송', '크다', '허리']",,"크다,   디자인,   빠르다,   허리,   배송","크다, 디자인, 빠르다, 허리, 배송"
"여행 때문에 샀는데 핏이 진짜 예뻐요!! 색감도 화면이랑 똑같고 s 사서 너무 작진 않을까 걱정했는데 전혀 작지 않았습니다-! 저랑 키,몸무게 비슷하신 분들은 s 사세용",['여행'],"['사서', '여행', '화면', '전혀', '작다', '색감', '작다', '몸무게']","['몸무게', '색감', '작다', '화면', '걱정', '분']","['작다', '몸무게', '여행', '전혀', '때문', '똑같다', '사서', '화면', '걱정', '색감']",,"작다,   여행,   화면,   색감,   몸무게","여행, 화면, 색감, 몸무게, 핏, 작지 않다"
데이트할 때 잘 입었습니다요 셔츠랑 입어도 예쁨,"['데이트', '셔츠']","['셔츠', '데이트']","['셔츠', '데이트']","['데이트', '셔츠']",,"데이트,   셔츠","데이트, 셔츠"
소재도 탄탄하고 합리적인 가격에 구매할 수 있어 좋습니다.,"['가격', '탄탄', '소재', '합리']","['합리', '탄탄하다', '소재', '가격']","['소재', '가격', '합리', '탄탄하다']","['합리', '소재', '탄탄하다', '가격']",,"가격,   소재,   합리,   탄탄하다","가격, 소재, 합리, 탄탄하다"
"맘에 들어요 기장도 너무 짧지않고 허리도 딱입니당 하나 아쉬운거는 엉덩이 밑에 부분이 좀 붕 떠요ㅠㅠ 아쉽,,","['붕', '기장', '엉덩이', '허리']","['엉덩이', '기장', '허리', '부분', '하나', '짧다']","['허리', '엉덩이', '부분', '기장', '짧다', '아쉽다', '밑', '하나']","['아쉽다', '딱이다', '부분', '하나', '엉덩이', '기장', '짧다', '허리']",,"기장,   엉덩이,   허리,   부분,   하나,   짧다","기장, 엉덩이, 허리, 짧지 않다"
168기준 허벅지 중간정도와서 활동할 때 전! 혀 불편함 없어요! 나아이스,"['중간', '혀', '불편', '활동', '허벅지', '아이스']","['허벅지', '불편하다', '활동', '중간', '오다', '아이스', '기준', '없다']","['오다', '아이스', '허벅지', '활동', '중간', '불편하다', '기준']","['아이스', '활동', '중간', '허벅지', '불편하다', '기준', '오다', '없다']",,"중간,   활동,   허벅지,   아이스,   불편하다,   오다,   기준","허벅지, 중간, 활동, 불편함 없다"
원래 짧은 치마는 손도안대는데 치마 바지라 너무 편하고 예뻐요,"['바지', '편하다', '치마']","['치마', '치마바지라', '편하다', '원래', '손', '대다', '짧다']","['치마', '바지라', '원래', '대다', '편하다', '짧다', '손']","['원래', '대다', '치마', '바지라', '짧다', '편하다']",,"편하다,   치마,   원래,   대다,   짧다","편하다, 치마, 바지, 짧다"
"키가 작은편인데도 길이감도 좋고
핏이 넘 예뻐요","['키', '길이감', '핏']","['펴다', '길이감', '키', '작다', '핏']","['펴다', '핏', '키', '길이감', '작다']","['길이감', '펴다', '작다']",,"길이감,   키,   핏,   펴다,   작다","길이감, 키, 핏, 작다"
"S와M중 고민하다가
조금더 활동성 편하게 입고 싶어서
M으로 구매했습니다.
확실히 허리가 남고 넉넉해요
아주 딱 맞지는 않습니다.

지난주
무신사 스토어 주변을 들리게되어 방문하였다가
다른색 s를  입어봤더니 s는 또 너무 타이트해서
편하게 입길 원했던 저에게는 M이 맞구나 하였습니다.
(무신사 다른 카고스커트는 s가 딱 이쁘게 핏이 되었는데 이거는 s가 타이트했어요ㅠㅠ)

위에 편하게 스타일링 할 수 있어서 
요즘 너무 잘 입고 있습니다","['방문', 's오다', 's', '주변', '맞다', '확실하다', 's늘다', '고민', '물다', '허리', '넉넉하다', '입어보다', '스토어', '활동성', '되어다', '색', 'm', '입길', '지난주', '편하다', '타이트', '원하다', '에게는', '남고', '들리다']","['넉넉하다', '활동', '물다', '타이트', '확실하다', '고민', '스타일링', '스토어', '스커트']","['스타', '일링', '입어보다', 's', '늘다', '편하다', '허리', '타이트', '가다']","['타이트', '물다', '되어다', '가다', '들리다', '지난주', '스토어', '입길', '남고', '방문']",,"타이트,   물다,   스토어","활동성, 편하다, m, 허리, 넉넉하다, s, 타이트, 핏, 스타일링, 스토어"
재질도 좋구 휘뚜루마뚜루 잘입고다니이 좋을거같아요,"['휘뚜루마뚜루', '재질']",['재질'],"['휘뚜루마뚜루', '재질']","['휘뚜루마뚜루', '재질']",,"재질,   휘뚜루마뚜루",재질
재질이 탄탄합니다! 바지가 함께 달린 스커트를 좋아하는데 핏도 예쁘고 좋아요,"['재질', '탄탄하다']","['스커트', '재질', '탄탄하다', '바지', '달리다', '핏', '좋아하다']","['좋아하다', '재질', '핏', '스커트', '달리다', '바지', '탄탄하다']","['달리다', '좋아하다', '탄탄하다', '스커트', '재질', '바지']",,"재질,   탄탄하다,   스커트,   바지,   달리다,   좋아하다","재질, 탄탄하다, 바지, 스커트, 핏, 좋아하다"
엄청 좋아요.. 착용감이 꽤나 좋습니다.. 진짜 편하고 매일 입고있어요..,"['편하다', '매일', '꽤', '착용']","['착용', '편하다', '매일', '꽤']","['착용', '편하다', '꽤', '매일']","['매일', '착용', '편하다']",,"편하다,   매일,   착용,   꽤","매일, 착용, 편하다"
"색감이 좀 어두워서 아쉬워요~
일자핏이라 펑퍼짐해보이지않아서 좋네요.
요새 살이 쪘음에도 불구하고 허리는 넉넉해서 단추로 조절해야 더 이쁘네요.
마르신분들은 단추로 허리 줄여도 클거같네요.","['크다', '어둡다', '허리', '넉넉하다', '핏', '이자', '단추', '보이지', '줄', '찌', '불구', '살이', '아쉽다', '조절', '분', '색감', '펑퍼짐하다', '마르다']","['단추', '펑퍼짐하다', '넉넉하다', '마르다', '허리', '보이지', '허리', '불구', '줄이다', '색감']","['조절', '단추', '불구', '살이', '보이지', '찌다', '색감', '허리']","['펑퍼짐하다', '이자', '불구', '찌다', '보이지', '살이', '단추', '마르다', '어둡다', '아쉽다']"," 보이지,  불구","불구,   허리,   단추,   보이지,   살이,   마르다,   펑퍼짐하다,   색감","허리, 단추, 마르다, 색감, 어둡다, 넉넉하다, 일자핏"
"와 진짜 최고의 치마를 찾았아요
여름이라 엉땀때문에 걱정 많았는데 방수라 티안나고
스판 짱짱해서 너무 편해요
엉덩이가 좀 커서 엠으로 시켰는데 기장이니 허리가 매우 크더라구요… 다른 색상 에스로 살 의향 있습니다
강추~~","['허리', '색상', '스판', '엠', '엉덩이', '강추', '방수', '최고', '치마', '기장']","['크다', '엉덩이', '커서', '걱정', '여름', '방수', '기장', '강추', '치마', '허리']","['허리', '여름', '엉덩이', '커서', '걱정', '편하다', '기장', '최고']","['의향', '에스', '강추', '짱짱하다', '최고', '많다', '걱정', '방수', '나다', '때문']",,"허리,   엉덩이,   강추,   방수,   최고,   기장,   걱정","허리, 엉덩이, 강추, 방수, 최고, 치마, 여름, 편하다, 크다, 기장, 걱정"
얇고 예뻐서 색깔별로 다 샀는데 베이지가 좀 어두운 베이지네요 약간 그레이랑 비슷한 느낌? 오히려 어두워서 ㄷ좋음,"['그레이', '색깔', '얇다', '베이지', '어두움']","['그레이', '베이지', '베이지', '두운', '어둡다', '얇다']","['색깔', '별로', '그레이', '어둡다', '베이지', '얇다', '두운']","['베이지', '어둡다', '두운', '별로', '그레이', '색깔', '얇다']", 얇다,"베이지,   그레이,   얇다,   색깔,   두운,   어둡다","얇다, 색깔, 어둡다, 베이지, 그레이"
넘 이쁩니다~ 다른 색도 사고 싶네요 ! 가을까지 입을수 있어요,"['색', '가을']","['색도', '사고', '싶다', '가을']","['가을', '색도', '사고']","['가을', '색도', '사고']", 사고,"가을,   색도,   사고","가을, 색"
163에 58 m 사이즈 딱 맞는 몸이어서 m 주문했는데 허리가 큽니다. 단추를 당겨서 끼워도 조금 큽니다. 길이는 발목을 거의 덮는 정도입니다. 디자인이나 재질은 마음에 듭니다.,"['m', '크다', '주문', '디자인', '허리', '몸', '사이즈', '발목', '재질', '길이']","['디자인', '크다', '몸', '길이', '사이즈', '당기다', '단추']","['사이즈', '크다', '발목', '허리', '단추', '길이', '디자인', '덮다', '주문']","['당기다', '끼우다', '덮다', '이나', '크다', '디자인', '주문', '발목', '길이', '맞다']"," 크다,  길이","크다,   디자인,   길이,   주문,   사이즈,   발목","크다, 디자인, 길이, 주문, 사이즈, 발목, 재질"
키에비해 좀 길지만 그냥 입어도 괜찮아요 ㅎㅎ 여름에 교복될듯,"['그냥', '교복', '비', '키', '길', '여름']","['길', '교복', '여름', '키', '비다', '그냥']","['여름', '비다', '그냥', '길', '키', '교복']","['비다', '교복', '그냥', '여름']", 교복,"그냥,   교복,   여름,   키,   길,   비다","길다, 여름, 교복"
"집사람 사줬는데 맘에들어해서 다행입니다
165기준으로 길긴하네요","['다행', '길다', '사주다', '기준', '집사람']","['다행', '기준', '집사람', '길다', '사주다']","['길다', '사주다', '다행', '기준', '집사람']","['다행', '사주다', '집사람', '기준', '길다']"," 사주다,  기준","다행,   길다,   사주다,   기준,   집사람","길다, 집사람, 사주다, 다행"
배송도 빨랐고 갖고 싶었는데 이정도 금액을 주고 살 가치가 있나 싶어서 고민하다 색감이랑 핏 보고 구입했고 결론적으로는 너무 잘산것같아요 예쁩니다 여름에 시원하게 착용 가능할 것 같아요,"['빠르다', '금액', '갖다', '주다', '살', '가치', '핏', '시원하다', '가능하다', '결론', '배송', '착용', '산', '여름', '색감']","['결론', '색감', '고민', '가능하다', '시원하다', '가치', '배송', '착용', '금액']","['배송', '가치', '금액', '여름', '착용', '색감', '결론', '으로는']","['금액', '으로는', '결론', '가치', '갖다', '가능하다', '주다', '빠르다', '착용', '고민']"," 가치,  착용","결론,   가치,   착용,   금액,   가능하다,   색감,   배송","가치, 시원하다, 착용, 금액, 가능하다, 색감, 배송"
배송 빨리 와서 좋았어요! 옷은 흉곽 부분이 많이 작게 나왔고 길이가 짧아서 좀 신경 쓰이긴 합니다 그래도 예뻐요,"['쓰이다', '짧다', '배송', '작다', '나오다', '흉곽', '오다', '부분', '길이', '빨리', '신경']","['신경', '길이', '배송', '오다', '흉곽', '쓰이다', '부분', '작다']","['작다', '짧다', '쓰이다', '나오다', '흉곽']","['쓰이다', '오다', '신경', '흉곽', '빨리', '나오다', '부분', '배송', '작다', '길이']", 흉곽,"쓰이다,   작다,   흉곽,   배송,   나오다,   오다,   부분,   길이,   신경","배송, 빨리, 흉곽, 작다, 길이, 신경, 짧다"
